"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NKG7",3.58323335613284e-159,-6.80765889383778,0.057,0.913,7.24744778611428e-155
"CCL5",7.95045029861084e-158,-4.61961659509788,0.092,0.96,1.60805807739703e-153
"CST7",4.82457353682088e-126,-6.42584637752079,0.021,0.742,9.75818243557392e-122
"GZMA",1.00124252781058e-118,-5.4076310679871,0.041,0.742,2.02511313674967e-114
"B2M",3.39231436618183e-85,-0.814441278191173,0.998,1,6.86129503703938e-81
"GZMK",6.54862148280275e-84,-5.62015051674317,0.024,0.556,1.32452418111168e-79
"CTSW",4.79782115478655e-78,-3.0965941079715,0.243,0.78,9.70407306767127e-74
"RPL32",1.63090882411322e-69,0.690506112334794,0.992,1,3.29867618765139e-65
"HLA-C",2.00817083102784e-65,-1.11242483085123,0.959,0.988,4.06172632283691e-61
"S100A4",6.83498249815637e-65,-1.80706565987779,0.603,0.919,1.38244356007711e-60
"TRGC2",7.96540146403414e-64,-4.77142847736954,0.025,0.463,1.61108210011555e-59
"MYO1F",2.99120855190219e-62,-3.46753238761483,0.063,0.528,6.05001841707737e-58
"LYAR",1.37135636297061e-60,-2.701370046828,0.096,0.559,2.77370537974435e-56
"RPS27",3.14470474903693e-60,0.566860255243578,0.994,1,6.36047982540209e-56
"PRF1",3.85294125644722e-59,-5.01044606498112,0.027,0.432,7.79295898529015e-55
"HOPX",9.24079933585099e-59,-5.15296798750425,0.014,0.407,1.86904407366922e-54
"GZMH",2.93491149493093e-52,-6.27164665674874,0.011,0.357,5.93615198964729e-48
"KLRG1",2.53998781756528e-50,-2.60369190359255,0.052,0.435,5.13737935980754e-46
"LEF1",5.61483944720864e-48,3.93377989880913,0.547,0.053,1.13565742659242e-43
"RPS6",1.70138702074783e-47,0.492219594255591,0.989,0.997,3.44122538816457e-43
"RPS12",3.28529711147344e-46,0.513548231421892,0.992,1,6.64484193766619e-42
"CLIC1",3.54961832623289e-46,-1.82653748138862,0.281,0.686,7.17945802663865e-42
"RPS23",3.95244718335822e-46,0.616179560159948,0.991,0.988,7.99421967306034e-42
"RPL11",7.1261958391322e-46,0.503951058937997,0.987,0.997,1.44134437042288e-41
"CYBA",8.76129779769136e-46,-1.49671286766254,0.645,0.876,1.77206009256105e-41
"LINC00987",1.07771804069405e-45,-3.3298671789641,0.074,0.45,2.17979250910779e-41
"HLA-A",2.16001479830044e-45,-0.83027584147532,0.954,0.981,4.36884593104247e-41
"CCR7",2.45847636038613e-44,3.80364777379005,0.507,0.04,4.97251428651698e-40
"CCL4",2.41738500700396e-43,-5.86323617279381,0.008,0.298,4.8894029151662e-39
"RPS13",3.75226352554537e-43,0.758023572083756,0.976,0.957,7.58932820676806e-39
"RPLP2",4.0996068621686e-43,0.510073239649747,0.997,0.997,8.29186483942221e-39
"RPS14",5.31191195040756e-43,0.498124359814482,0.991,1,1.07438731108943e-38
"AOAH",8.30993071260911e-43,-2.68402001596366,0.163,0.55,1.68076658593232e-38
"SH3BGRL3",9.49190853498201e-43,-1.24293340589711,0.709,0.904,1.91983342028546e-38
"RPS28",5.03021325113245e-42,0.620669220394857,0.989,0.981,1.01741093217405e-37
"RPS25",5.01134451518403e-41,0.553922617733655,0.991,0.991,1.01359454164112e-36
"RPL31",5.80574771907622e-41,0.591453297189158,0.987,0.991,1.17427053366036e-36
"APOBEC3G",8.81977010669019e-41,-2.90526391321384,0.1,0.457,1.78388670177916e-36
"HLA-B",3.05938119353826e-40,-0.793775325139072,0.891,0.963,6.18790440205048e-36
"IL32",1.01061093387619e-39,-1.14397183468276,0.744,0.929,2.04406167485798e-35
"RPL30",1.08316840164981e-38,0.536673300688379,0.989,0.984,2.1908164091769e-34
"RPL18A",5.44313187978839e-38,0.467009657014367,0.986,1,1.100927854006e-33
"RPL13",7.62810565312041e-38,0.421526342016196,0.995,1,1.54286064940013e-33
"EEF1G",2.31509793336704e-37,0.677019647782881,0.975,0.969,4.68251708002818e-33
"FGFBP2",3.44619708658615e-37,-6.86341977027577,0.005,0.252,6.97027822732914e-33
"RPS16",6.28277796492116e-37,0.508544006868515,0.991,1,1.27075467118495e-32
"CD8A",6.29432163411215e-37,-2.39253429646853,0.126,0.484,1.27308949371552e-32
"GZMB",1.26092112734591e-36,-6.49433646879276,0.009,0.261,2.55033907216984e-32
"MAML2",1.59676667701295e-36,2.04481247024515,0.652,0.208,3.2296202809264e-32
"RPS29",2.54246587961231e-36,0.577114163453221,0.983,0.988,5.14239148810385e-32
"LDHB",1.47129147194405e-35,0.872082359759355,0.896,0.649,2.97583413115403e-31
"RPL18",1.10308979160174e-34,0.540601709568367,0.986,0.984,2.23110941249368e-30
"PFN1",1.64433010129869e-34,-0.932789820012863,0.877,0.953,3.32582206288673e-30
"ACTB",5.6026215312107e-34,-0.86300871214241,0.975,1,1.13318623090268e-29
"SAMD3",2.46530528655574e-33,-2.44000496808871,0.115,0.435,4.98632647258764e-29
"RPS3A",5.17822203845826e-33,0.578787299778575,0.987,0.978,1.04734718949857e-28
"RPL19",6.19693821844872e-33,0.397940513528853,0.992,1,1.25339272406344e-28
"TPT1",6.99251788051579e-33,0.541524949202985,0.984,0.994,1.41430666651312e-28
"ANXA2",1.47225757910694e-32,-2.65114748565039,0.085,0.388,2.9777881795017e-28
"FHIT",1.04977686780306e-31,4.27921466637208,0.387,0.031,2.12327869281848e-27
"HLA-DPB1",1.73912443439715e-30,-2.9076066017896,0.112,0.404,3.51755308101168e-26
"HCST",2.68053422764509e-30,-1.320128589566,0.507,0.758,5.42164852883496e-26
"RPL12",4.22405432733587e-30,0.485837942586354,0.991,0.997,8.54357228246953e-26
"RPL36",4.40600051706976e-30,0.6016935519528,0.983,0.941,8.91157664582529e-26
"RPS18",1.067781499475e-29,0.348574660144538,0.994,1,2.15969486083814e-25
"RPL9",1.49879043325527e-29,0.464214843346195,0.989,0.984,3.0314535303021e-25
"KLRK1",1.53851884815211e-29,-2.55563492590757,0.12,0.422,3.11180822227245e-25
"RPS5",1.59418427770478e-29,0.50871863404734,0.978,0.984,3.22439712008568e-25
"PRKCA",9.35802227920496e-29,2.3938469996528,0.469,0.09,1.892753586192e-24
"CTSC",1.1434792463155e-28,-2.46672295387839,0.106,0.391,2.31280112359774e-24
"RPS15A",1.5198648156474e-28,0.426123386053172,0.989,0.997,3.07407857612844e-24
"TSHZ2",1.59182441377502e-28,4.90116074542462,0.332,0.012,3.21962405930136e-24
"RPL13A",1.82485576824515e-28,0.325920693368676,0.994,1,3.69095327685264e-24
"RPL35A",2.10402997091292e-28,0.488522216020264,0.989,0.984,4.25561101916847e-24
"SARAF",5.90126840194409e-28,0.887549817252069,0.921,0.748,1.19359054697721e-23
"GZMM",2.08681121093891e-27,-2.00256785319855,0.275,0.556,4.22078435524503e-23
"C12orf75",2.18431807571773e-27,-2.84652441053772,0.066,0.323,4.41800173994669e-23
"RPL10",4.49418111711835e-27,0.305549446625932,0.994,1,9.08993072748357e-23
"RPS15",1.80910745975893e-26,0.395030570586544,0.989,0.994,3.65910074810841e-22
"EEF1A1",2.00988481559217e-26,0.354693011324678,0.989,0.997,4.06519302801672e-22
"MAL",2.31874568757833e-26,5.07151468764268,0.316,0.016,4.68989502769593e-22
"RPL10A",2.163657235202e-25,0.451433571174316,0.973,0.991,4.37621312391956e-21
"SRGN",2.1836852185658e-25,-1.1456168182744,0.592,0.798,4.41672172307118e-21
"MT-CO1",2.70113597071553e-25,-0.463947896462812,0.987,0.997,5.46331761436923e-21
"RPS20",4.98819854225055e-25,0.543841550741444,0.979,0.947,1.0089130371556e-20
"RPLP1",1.39631547166386e-24,0.412086364109189,0.994,0.994,2.82418767298732e-20
"RPL37",2.05536301519869e-24,0.585156425747166,0.984,0.95,4.15717723454088e-20
"FOXP1",2.38118996080796e-24,1.32392182844674,0.712,0.339,4.81619481473018e-20
"RPS10",2.40878214098169e-24,0.457793897528258,0.979,0.972,4.87200275834956e-20
"LGALS1",2.61112220623732e-24,-2.53391826378309,0.088,0.339,5.28125577433561e-20
"SELL",3.973674612575e-24,1.43095488036289,0.592,0.217,8.0371542713942e-20
"SERINC5",5.84405743617855e-24,2.23752719514866,0.428,0.096,1.18201905704147e-19
"S100A6",6.60018317044682e-24,-0.948460687895088,0.66,0.817,1.33495304805457e-19
"HLA-DPA1",8.35077501981115e-24,-2.71254541460998,0.079,0.317,1.689027755507e-19
"RPL29",1.44902079360979e-23,0.456793970870065,0.983,0.972,2.93078945715515e-19
"RPL23",2.48847533875723e-23,0.678311158937504,0.907,0.711,5.03319022017036e-19
"SNHG32",4.45562526178587e-23,1.30525123980781,0.692,0.345,9.0119476544881e-19
"JUNB",4.93023346112331e-23,0.858161405516229,0.894,0.814,9.97189019846801e-19
"LTB",5.09958250656177e-23,0.704998071842729,0.885,0.575,1.03144155777718e-18
"RPS11",1.09614188699298e-22,0.648691627569339,0.954,0.885,2.21705658063201e-18
"RPS9",1.18424633148134e-22,0.454002939377254,0.987,0.984,2.39525663005417e-18
"RPL21",4.97733290021434e-22,0.324560455342682,0.984,0.997,1.00671535239735e-17
"GAS5",5.59677734028465e-22,1.06303052075473,0.855,0.624,1.13200418484597e-17
"TMSB10",5.74035274637776e-22,0.522711949327296,0.992,0.978,1.16104374648237e-17
"CD74",1.0927841630861e-21,-1.45125601131716,0.436,0.655,2.21026524825795e-17
"ID2",1.92406150583865e-21,-1.63130764869268,0.253,0.519,3.89160680170926e-17
"NDFIP1",3.7534038084012e-21,1.4386223772993,0.635,0.301,7.59163454287226e-17
"PHACTR2",4.60980183661717e-21,-1.3859001047272,0.09,0.32,9.32378519474188e-17
"NPM1",1.09364771292515e-20,0.604799760328047,0.916,0.807,2.21201186416242e-16
"RPL22",1.80910801428076e-20,0.789633754713428,0.883,0.689,3.65910186968427e-16
"CD63",1.95933901562639e-20,-1.73313524165755,0.141,0.379,3.96295909300593e-16
"RAP1GAP2",5.15369451915751e-20,-1.82229916919786,0.096,0.326,1.0423862534448e-15
"RPL36A",5.26664011318027e-20,0.451659675648699,0.983,0.913,1.06523062929184e-15
"RPS4X",6.25265603887133e-20,0.329210954243349,0.983,0.994,1.26466221042212e-15
"RPS19",6.52435012293181e-20,0.320393990505043,0.994,0.994,1.31961505586419e-15
"RPL4",8.71496651885939e-20,0.488514440801159,0.973,0.96,1.7626891281045e-15
"CD99",8.97143951070547e-20,-1.89447797525744,0.128,0.366,1.81456335543529e-15
"CHST12",1.60054756057054e-19,-2.57371634444244,0.055,0.252,3.23726749600997e-15
"SLC2A3",1.64557641319605e-19,1.39636944488506,0.621,0.289,3.32834285333033e-15
"RPL38",1.89452888084013e-19,0.609756723885285,0.948,0.839,3.83187411438725e-15
"RPL5",1.92521535114663e-19,0.394609487046296,0.975,0.981,3.89394056922917e-15
"BACH2",2.54393828296853e-19,1.8802489826016,0.441,0.143,5.14536957113215e-15
"ZNF331",5.35712711388112e-19,1.21574455097793,0.619,0.286,1.0835325300536e-14
"SNHG29",6.78643878088435e-19,0.863511472673598,0.877,0.671,1.37262510782167e-14
"RPL37A",7.7566179079715e-19,0.490967701102765,0.978,0.922,1.56885353806632e-14
"GAPDH",7.91686114329497e-19,-0.78231323678633,0.746,0.863,1.60126433484284e-14
"EEF1B2",1.10089263159104e-18,0.657437736562079,0.932,0.832,2.22666543665604e-14
"TRG-AS1",5.62339124883768e-18,-2.3448170049321,0.065,0.255,1.13738711398991e-13
"NOSIP",5.90724118461558e-18,1.00722858866427,0.646,0.335,1.19479860200035e-13
"TPST2",6.56453956974711e-18,-2.63131337236429,0.077,0.273,1.32774377337705e-13
"RPL3",6.63930652921335e-18,0.253808740606808,0.983,1,1.34286613859869e-13
"ARHGAP26",1.94339306529005e-17,-2.19767996622438,0.088,0.289,3.93070681385566e-13
"ANXA1",3.33773459296396e-17,-1.20200204122155,0.444,0.655,6.7509019877289e-13
"RPL27A",3.78243173086048e-17,0.304047443743563,0.989,0.997,7.65034641883841e-13
"RPS8",6.19836003069373e-17,0.35325510101317,0.986,0.991,1.25368029980811e-12
"RPL24",1.97174446711915e-16,0.424674084093511,0.981,0.919,3.9880503591952e-12
"RPS2",2.18227228548361e-16,0.269050111979273,0.991,1,4.41386392461915e-12
"MYL6",2.27276896364034e-16,-0.920776000762495,0.736,0.801,4.59690250585894e-12
"RPS21",3.46433724114931e-16,0.514256864992052,0.927,0.845,7.00696850394859e-12
"RACK1",3.82515636452639e-16,0.468047778709078,0.976,0.96,7.73676126289107e-12
"PIK3IP1",5.01724111865388e-16,1.25707695391841,0.531,0.242,1.01478718865893e-11
"HLA-E",5.65476672155452e-16,-0.626028231422537,0.856,0.922,1.14373311710162e-11
"SYNE1",5.86863292701298e-16,-1.41385341149199,0.087,0.28,1.18698969581765e-11
"RPSA",5.87796508747842e-16,0.335126269278384,0.975,0.975,1.18887721859338e-11
"RPL8",1.31786547725597e-15,0.251369359842553,0.979,0.972,2.66551471429793e-11
"DNAJC1",1.32192970117694e-15,-1.89093207301546,0.109,0.304,2.67373501360048e-11
"TXK",1.87608225444558e-15,1.66568383056682,0.381,0.121,3.79456396784163e-11
"RUNX3",2.44904894076855e-15,-1.85431237270048,0.1,0.289,4.95344638759847e-11
"SYNE2",2.52518528947446e-15,-1.21087954838848,0.191,0.416,5.10743976649104e-11
"RPL28",3.13186838978756e-15,0.260036490887808,0.989,1,6.33451700518431e-11
"PABPC1",3.2587555385239e-15,0.606988319609295,0.877,0.724,6.59115895221844e-11
"TGFB1",3.84505726501552e-15,-1.54555820294081,0.21,0.419,7.77701282422039e-11
"CRIP1",7.8381222521465e-15,-0.963827470310951,0.464,0.68,1.58533860671915e-10
"FAU",9.70696676802974e-15,0.382995382040163,0.981,0.96,1.96333109850169e-10
"RGS10",1.10737095470944e-14,1.17347597837557,0.564,0.273,2.23976849299532e-10
"PRKCQ-AS1",1.61180359930885e-14,1.63806177426739,0.39,0.134,3.26003395996208e-10
"BTG1",1.68936517321338e-14,0.593502347447386,0.942,0.823,3.41690999934139e-10
"TCF7",2.10770241541573e-14,1.14149507839127,0.453,0.186,4.26303890541986e-10
"NELL2",3.25875634481426e-14,1.87537311039161,0.313,0.084,6.59116058302131e-10
"RPL14",5.50878464933065e-14,0.227071798836402,0.987,0.988,1.11420678317362e-09
"ARPC5L",5.59561922437886e-14,-1.84199069951629,0.114,0.292,1.13176994432287e-09
"ARPC2",6.05977398920379e-14,-0.96225794518947,0.635,0.745,1.22564988705636e-09
"PPP2R5C",9.54293563276642e-14,-0.960249171475103,0.28,0.478,1.93015416108334e-09
"RABGAP1L",1.00418866317444e-13,-1.65610728295986,0.28,0.469,2.03107199013662e-09
"ABLIM1",1.0827621657279e-13,1.52110304119242,0.332,0.099,2.18999475640124e-09
"CFL1",2.27526615515961e-13,-0.54290522200914,0.87,0.913,4.60195332542582e-09
"APBA2",5.05577702223142e-13,1.65413098392554,0.3,0.084,1.02258146051653e-08
"PPP1R18",6.18954714140453e-13,-1.42695552307324,0.172,0.357,1.25189780482048e-08
"ATXN1",7.03231382847528e-13,-1.39670391391795,0.152,0.335,1.42235579494741e-08
"PARP8",8.91060813539929e-13,-0.82631847289718,0.197,0.398,1.80225960146586e-08
"RPL41",1.06214982576585e-12,0.294817134815628,0.984,0.991,2.14830423759402e-08
"CAMK4",1.3279724252374e-12,1.35771436335118,0.507,0.261,2.68595702728517e-08
"RPL7A",1.48391646587211e-12,0.272318770030772,0.978,0.963,3.00136944387292e-08
"PAXX",1.52012063634684e-12,-2.1394984364812,0.161,0.335,3.07459599907512e-08
"RPL7",1.61672217897374e-12,0.375808818453232,0.972,0.969,3.26998227919229e-08
"YWHAQ",2.08448432851111e-12,-1.54370920063858,0.22,0.394,4.21607800284657e-08
"UBC",2.48845416698517e-12,-0.696580557615923,0.812,0.832,5.03314739814421e-08
"AHNAK",3.34103625921708e-12,-1.86265401991514,0.12,0.292,6.75757993789246e-08
"C1orf162",3.67920829116086e-12,1.53116256951192,0.297,0.087,7.44156668970196e-08
"ITGB2",4.42092370482077e-12,-1.23313889114746,0.303,0.475,8.94176028537049e-08
"RPL34",4.48523105352834e-12,0.546520355763604,0.916,0.898,9.07182832886643e-08
"RPS17",4.56959552338255e-12,0.316094850426005,0.983,0.991,9.24246390559355e-08
"RPS27A",6.40028899354256e-12,0.248838589802854,0.986,0.991,1.29452245183392e-07
"RPL35",7.15627276474048e-12,0.293518962006432,0.986,0.947,1.44742772939641e-07
"NACA",7.96036269091939e-12,0.334084591488847,0.967,0.947,1.61006295786536e-07
"NOP53",9.67437884301966e-12,0.341297086311498,0.915,0.77,1.95673986478916e-07
"CD53",1.06211228037551e-11,-0.862409523882485,0.472,0.612,2.1482282982875e-07
"RPLP0",1.13258857824978e-11,0.314466679598733,0.975,0.947,2.29077365836801e-07
"PSMB9",1.16129443843543e-11,-0.73207361342875,0.455,0.606,2.3488341311795e-07
"RPS3",1.36925037824814e-11,0.15787668128044,0.989,0.994,2.76944581504469e-07
"OAZ1",1.53754739228689e-11,-0.555185653779468,0.809,0.857,3.10984335563947e-07
"PSMB8",1.55420648260716e-11,-0.877218203970508,0.291,0.478,3.14353803172125e-07
"FYB1",1.9848556229097e-11,0.879008022978937,0.578,0.326,4.01456898289715e-07
"LEPROTL1",2.28162994829817e-11,0.955944384734088,0.591,0.342,4.61482473342788e-07
"DUSP2",2.51103210245056e-11,-1.28162341485028,0.262,0.425,5.0788135304165e-07
"RPL15",3.19491918364135e-11,0.293214783948862,0.986,0.994,6.46204354083299e-07
"LDLRAP1",3.55308814660003e-11,2.09724919480123,0.284,0.09,7.18647608531322e-07
"ANXA6",3.78897323518073e-11,-1.45041004828487,0.218,0.391,7.66357726547654e-07
"INPP4B",3.83544215165512e-11,1.08572838844997,0.397,0.174,7.75756529593766e-07
"UBA52",4.14791604225246e-11,0.301487735799368,0.968,0.938,8.38957498705983e-07
"IFITM2",6.62578519860564e-11,-0.603215841617732,0.577,0.696,1.34013131426998e-06
"LCP1",1.22163846612427e-10,-1.03848315304464,0.259,0.422,2.47088596158296e-06
"EMP3",1.23802208834943e-10,-0.948583917208744,0.602,0.68,2.50402347589556e-06
"MT-ND1",1.36205220695193e-10,-0.416398953105039,0.926,0.96,2.75488679378098e-06
"S100A10",1.41817491809078e-10,-0.725385126574399,0.483,0.615,2.86840058933041e-06
"FYN",1.43122067840871e-10,-0.789434504038398,0.387,0.55,2.89478694414946e-06
"TMEM243",1.79197635787833e-10,1.40739600366482,0.313,0.112,3.62445138144471e-06
"MYL12A",1.99492077353397e-10,-0.406294233226555,0.896,0.922,4.03492675654981e-06
"OXNAD1",2.79646300720174e-10,1.32148065113222,0.39,0.174,5.65612607836624e-06
"RPL17",3.39224657365251e-10,0.318725574178095,0.983,0.991,6.86115791986957e-06
"BCL11B",3.46795967757226e-10,0.892264739959364,0.602,0.373,7.01429524385766e-06
