"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PCED1B-AS1",0.0347811157920086,0.262841934061358,0.731,0.63,1
"ADK",0.0358165312916091,0.17448772726945,0.311,0.214,1
"NEDD8",0.0369445570124564,-0.318482364552253,0.417,0.435,1
"JTB",0.0381417163183616,-0.666536212630611,0.344,0.37,1
"CDC42",0.0381564048588114,-0.38531497690219,0.341,0.363,1
"MT-CO2",0.0390235956303431,-0.259530596400889,0.878,0.863,1
"EID1",0.0399115205849032,-0.558757646446426,0.329,0.366,1
"ARHGEF3",0.0406836647870896,0.201712962841266,0.278,0.205,1
"DDX5",0.0410638311691826,-0.103830605201707,0.858,0.866,1
"ATP5F1E",0.0415283941277281,-0.229389812187601,0.697,0.696,1
"EVL",0.0449540191598288,0.283782218180481,0.682,0.584,1
"ANAPC16",0.0458293226185584,0.296770442451727,0.588,0.475,1
"RNF213",0.0459911723866926,-0.449821891100412,0.243,0.28,1
"CD247",0.0475620152623764,-0.265657253890764,0.572,0.565,1
"TMEM258",0.0476572539993014,-0.354389099089632,0.288,0.317,1
"ANXA7",0.0483439246940067,-0.260084165092055,0.265,0.304,1
"WWOX",0.0486841123550763,-0.155571368890229,0.209,0.252,1
"UBL5",0.0496040969614617,-0.493785765810352,0.36,0.376,1
"STK4",0.0500238777780051,0.407112278978051,0.39,0.307,1
"SELENOH",0.0506727712536939,0.21092206404934,0.395,0.304,1
"ASH1L",0.0512396467733472,0.378298731871185,0.27,0.205,1
"SKAP1",0.0516853321550198,-0.153781670353085,0.542,0.55,1
"SSR4",0.0522555900206703,-0.260076316398652,0.513,0.503,1
"PLP2",0.0523626226234421,0.319163829364313,0.273,0.199,1
"EZR",0.0525132180117169,-0.279169564398856,0.344,0.373,1
"SAP18",0.0537225470766541,-0.670384148859152,0.428,0.432,1
"OST4",0.0537504559315179,-0.179848892993493,0.562,0.565,1
"MZT2B",0.0555951759334129,0.298470561516558,0.431,0.329,1
"FKBP8",0.0561271211850373,-0.354541103977865,0.259,0.292,1
"IL7R",0.0565002922235519,0.162972604797911,0.605,0.475,1
"MT-ATP6",0.0566269435204923,-0.450622226147931,0.724,0.693,1
"GTF3A",0.0572824164763249,-0.309092822205118,0.501,0.503,1
"GABARAPL2",0.059355071742394,-0.412372396797252,0.292,0.32,1
"RWDD1",0.0603792872380325,0.244748789445957,0.275,0.199,1
"SELENOK",0.0620241971479646,-0.47972735065921,0.237,0.267,1
"NFATC3",0.0623603783652483,-1.39481966552869,0.231,0.261,1
"AKT3",0.063688057738167,-0.488965878061057,0.246,0.283,1
"PTGES3",0.0654722910201811,-0.393847916160415,0.427,0.435,1
"JAK1",0.0667126391225652,-0.126653210190807,0.269,0.301,1
"C19orf53",0.0680960456431329,0.46006004347535,0.392,0.301,1
"GRAP2",0.0706366453104627,-0.788953090759157,0.258,0.28,1
"SNHG8",0.070767624382229,0.492906804341124,0.306,0.233,1
"SEC11A",0.0709556981096565,-0.398338228228177,0.234,0.264,1
"RAB7A",0.0727402161348637,-0.440521107573329,0.299,0.32,1
"ARIH1",0.0740008046008497,-0.149536882445356,0.313,0.239,1
"TMBIM4",0.0742000115230105,-0.47606685496755,0.226,0.261,1
