"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PHPT1",1.48811110183511e-09,0.48580693378744,0.344,0.136,3.00985351457169e-05,"5","PHPT1"
"TADA3",1.5420282258033e-09,0.926720002043494,0.274,0.101,3.11890628950975e-05,"5","TADA3"
"CTSA",1.63543395695118e-09,0.402401437905138,0.318,0.123,3.30782872132946e-05,"5","CTSA"
"GAPDH1",1.66467031883289e-09,0.25220435113512,0.968,0.798,3.36696218687141e-05,"5","GAPDH"
"ATP5MC31",1.81360244385619e-09,0.713256225503588,0.682,0.38,3.66819230294354e-05,"5","ATP5MC3"
"TNFRSF14",1.99376185741531e-09,0.664409448145895,0.42,0.181,4.0325827328082e-05,"5","TNFRSF14"
"ADGRE51",2.14175356430142e-09,0.578123333513215,0.771,0.466,4.33191075915606e-05,"5","ADGRE5"
"PSMD4",2.32384059113815e-09,0.776018766989552,0.51,0.238,4.70019997963603e-05,"5","PSMD4"
"EIF11",2.53197889682162e-09,0.332112013618012,1,0.977,5.12118051671141e-05,"5","EIF1"
"ACTG11",2.53907492151355e-09,0.34549835484468,0.981,0.817,5.13553293625331e-05,"5","ACTG1"
"NDUFA7",2.63936216207313e-09,0.446768892468866,0.363,0.149,5.33837390900912e-05,"5","NDUFA7"
"ATP5F1C",2.96397386946885e-09,0.600203160758202,0.548,0.267,5.9949335483877e-05,"5","ATP5F1C"
"SERPINB61",3.19703804766998e-09,0.740100851119316,0.389,0.17,6.4663291552173e-05,"5","SERPINB6"
"KCNAB2",3.24873847557297e-09,0.827274748160485,0.318,0.133,6.57089844069389e-05,"5","KCNAB2"
"RASSF51",3.48191164304613e-09,0.901541679315752,0.414,0.186,7.0425144892251e-05,"5","RASSF5"
"COX6A1",3.95439695534433e-09,0.388428282694782,0.758,0.441,7.99816328187945e-05,"5","COX6A1"
"LYPLA1",4.38297822736308e-09,0.401008619420024,0.363,0.15,8.86501176266457e-05,"5","LYPLA1"
"AGTPBP1",4.38393637558372e-09,0.704477735157101,0.344,0.14,8.86694971325563e-05,"5","AGTPBP1"
"SRI",4.40464545978575e-09,0.71804821394535,0.471,0.226,8.90883590696267e-05,"5","SRI"
"PPP4C1",4.61137507228986e-09,0.655951880849691,0.516,0.252,9.32696722121348e-05,"5","PPP4C"
"CYTH4",4.83826954631915e-09,1.46426637359915,0.287,0.113,9.78588398438511e-05,"5","CYTH4"
"SERPINB11",4.97366612847811e-09,0.337356801511252,0.631,0.325,0.000100597371114598,"5","SERPINB1"
"TACC1",5.45232274624538e-09,0.650245488087868,0.268,0.101,0.000110278679865559,"5","TACC1"
"TXN2",5.65514587426538e-09,0.757868001240004,0.331,0.138,0.000114380980452892,"5","TXN2"
"SELENOH1",6.25828166143663e-09,0.517390463462639,0.726,0.4,0.000126580004884217,"5","SELENOH"
"IFNGR1",6.65670346345592e-09,0.711915229918556,0.261,0.097,0.000134638484251859,"5","IFNGR1"
"FIBP",6.72426487855488e-09,0.799678176900644,0.331,0.139,0.000136004981433651,"5","FIBP"
"GNG21",7.16121505386522e-09,0.587720700513923,0.529,0.264,0.000144842735679478,"5","GNG2"
"MT-CO2",7.27461040039608e-09,0.601251835279378,0.968,0.888,0.000147136269958411,"5","MT-CO2"
"HSH2D",7.43799268498604e-09,0.589629697838685,0.261,0.097,0.000150440840046528,"5","HSH2D"
"DOCK81",7.50199316410308e-09,0.66550029107071,0.618,0.343,0.000151735313737149,"5","DOCK8"
"CAPZA1",7.74057628867587e-09,0.546242159555548,0.51,0.236,0.000156560896014758,"5","CAPZA1"
"UBC1",7.82025249856545e-09,0.429543193017358,0.975,0.825,0.000158172427035985,"5","UBC"
"SYTL1",8.02021130138488e-09,0.8849791449176,0.369,0.163,0.000162216793781811,"5","SYTL1"
"ELF2",8.7615416230461e-09,0.633287444233554,0.293,0.115,0.00017721094086773,"5","ELF2"
"TBCB",8.96274972737006e-09,0.495092931046879,0.541,0.267,0.000181280575985787,"5","TBCB"
"PTPRE1",9.16509792363812e-09,0.641206355829668,0.293,0.117,0.000185373270603505,"5","PTPRE"
"LIPA",9.50842149600511e-09,0.740307999712808,0.287,0.111,0.000192317333178199,"5","LIPA"
"IQGAP11",1.03255291929599e-08,0.500180627053955,0.395,0.169,0.000208844153456807,"5","IQGAP1"
"BUD311",1.03728254646018e-08,0.504322785427405,0.465,0.211,0.000209800767847035,"5","BUD31"
"PCMT1",1.12382222598399e-08,0.560521374580653,0.452,0.204,0.000227304283427522,"5","PCMT1"
"GPCPD11",1.15884312894095e-08,0.761387991062133,0.331,0.138,0.000234387611259596,"5","GPCPD1"
"NT5C2",1.16366908755159e-08,0.501583299532537,0.306,0.12,0.000235363709648184,"5","NT5C2"
"HMGN2",1.18766703958425e-08,0.476556144130958,0.745,0.427,0.000240217535426311,"5","HMGN2"
"ADI1",1.23557611509106e-08,0.704742055822176,0.299,0.122,0.000249907625038318,"5","ADI1"
"ERICH1",1.32756655617867e-08,0.832565889736982,0.312,0.126,0.000268513611652697,"5","ERICH1"
"COP1",1.35358170841991e-08,0.42567127893783,0.433,0.196,0.000273775436345011,"5","COP1"
"NDUFB3",1.36160931689619e-08,0.62105127919464,0.293,0.118,0.000275399100435423,"5","NDUFB3"
"INPP4A",1.38982273256095e-08,0.726288273894167,0.331,0.138,0.000281105545887779,"5","INPP4A"
"SELENOS",1.40328202424756e-08,0.585049622971147,0.306,0.125,0.000283827822224312,"5","SELENOS"
"ZNHIT3",1.40716643618774e-08,1.23165612155064,0.357,0.157,0.000284613483383333,"5","ZNHIT3"
"RAB1A",1.4470948727403e-08,0.756787664482466,0.376,0.171,0.000292689408960453,"5","RAB1A"
"ARHGDIA",1.48599035985415e-08,0.284574667972433,0.516,0.243,0.000300556410184101,"5","ARHGDIA"
"C7orf50",1.51536486380813e-08,0.701169603486545,0.357,0.15,0.000306497697353833,"5","C7orf50"
"GPBP1L1",1.56305840561587e-08,1.15692146101779,0.255,0.095,0.000316144193119867,"5","GPBP1L1"
"TANK",1.58865659132369e-08,0.367373291721052,0.312,0.126,0.000321321682161129,"5","TANK"
