"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RAB7A",0.000304659315780072,0.642700767134709,0.382,0.235,1,"0","RAB7A"
"COTL1",0.000344558076331318,0.472399361878301,0.511,0.352,1,"0","COTL1"
"ZFP36",0.000348400040687091,0.634312383052027,0.625,0.476,1,"0","ZFP36"
"SOCS3",0.000348815986474652,0.448072362541275,0.32,0.18,1,"0","SOCS3"
"CIB1",0.000370987477839767,0.354150963613429,0.5,0.321,1,"0","CIB1"
"MYL12B",0.000437265219387117,0.377589189801578,0.754,0.607,1,"0","MYL12B"
"RNF139",0.0004775692967827,0.747402758669776,0.265,0.144,1,"0","RNF139"
"IK",0.000504404071140701,0.659849932147055,0.32,0.191,1,"0","IK"
"KLF2",0.000636282342884131,0.41089884925674,0.699,0.554,1,"0","KLF2"
"GSTK1",0.000647687506026038,0.369149141458347,0.61,0.427,1,"0","GSTK1"
"ILF3-DT",0.000651841161420458,0.687276530482081,0.261,0.147,1,"0","ILF3-DT"
"ATP6V0E1",0.000696659098995391,0.610989673952879,0.588,0.407,1,"0","ATP6V0E1"
"EMP3",0.000698661115837698,0.259243967881931,0.717,0.515,1,"0","EMP3"
"SELENOT",0.00074986656497814,0.518876101494568,0.324,0.191,1,"0","SELENOT"
"DNAJB6",0.00080990772448644,0.69207792895911,0.294,0.175,1,"0","DNAJB6"
"CSTB",0.000812517185929916,0.538684223260049,0.324,0.197,1,"0","CSTB"
"CYTIP",0.000813626680243045,0.421916259575879,0.529,0.374,1,"0","CYTIP"
"CHST11",0.000886716249552777,0.558538548726103,0.298,0.172,1,"0","CHST11"
"SAT1",0.000893480169122817,0.27285021641281,0.342,0.211,1,"0","SAT1"
"CAMK1D",0.000896812666941707,0.561259005638508,0.309,0.18,1,"0","CAMK1D"
"ENSG00000297373",0.000918241310222583,0.354822011453281,0.312,0.191,1,"0","ENSG00000297373"
"ERH",0.000927399179858749,1.06013529279678,0.379,0.247,1,"0","ERH"
"CLIC1",0.00117115093045036,0.926605296447655,0.353,0.227,1,"0","CLIC1"
"AQP3",0.00118674647349381,0.346690742213475,0.301,0.18,1,"0","AQP3"
"TUBA4A",0.00125836694609612,0.826091527389721,0.324,0.216,1,"0","TUBA4A"
"FHIT",0.00129864176841182,0.601538507527253,0.452,0.338,1,"0","FHIT"
"ATF4",0.00134480019514847,0.894458979025614,0.257,0.152,1,"0","ATF4"
"PSMA5",0.00139625963881918,0.669638868798943,0.283,0.172,1,"0","PSMA5"
"PPP1R15A",0.00140989738350985,0.36592746661553,0.449,0.296,1,"0","PPP1R15A"
"OST4",0.0014141820527291,0.457204244463832,0.665,0.485,1,"0","OST4"
"S100A4",0.00141748779978524,0.400495863977148,0.665,0.557,1,"0","S100A4"
"CALM1",0.00147102603974165,0.315192298095281,0.761,0.607,1,"0","CALM1"
"U2AF1",0.0014973274821543,0.364670190177081,0.485,0.349,1,"0","U2AF1"
"CEMIP2",0.00152856235367173,0.678595452038872,0.29,0.177,1,"0","CEMIP2"
"LINC-PINT",0.00162889242164357,0.285151053932486,0.721,0.573,1,"0","LINC-PINT"
"ATP5F1C",0.00170292335565908,0.334169280331753,0.32,0.191,1,"0","ATP5F1C"
"PBXIP1",0.00195790088472465,0.670040694547923,0.25,0.144,1,"0","PBXIP1"
"GPSM3",0.00200342111965532,0.347798303452528,0.732,0.571,1,"0","GPSM3"
"SP110",0.00200424048010611,0.385384122842095,0.36,0.227,1,"0","SP110"
"CDC42SE1",0.00206083934815779,0.285262192068646,0.254,0.147,1,"0","CDC42SE1"
"ACTR3",0.00207012671493303,0.647294665615583,0.467,0.324,1,"0","ACTR3"
"TMED2",0.00211203447960307,0.661855753855299,0.305,0.188,1,"0","TMED2"
"GIMAP5",0.00216617550866364,1.31242936466378,0.489,0.343,1,"0","GIMAP5"
"CIAO2B",0.00227080278831624,0.607366804772419,0.279,0.172,1,"0","CIAO2B"
"IER2",0.00227914156149932,0.304407501135091,0.61,0.457,1,"0","IER2"
"TSTD1",0.00238769896731236,0.569602229925041,0.316,0.202,1,"0","TSTD1"
"MED10",0.00245583842206152,0.821682494098308,0.294,0.188,1,"0","MED10"
"DHRS7",0.00246547798465462,0.510528048359976,0.301,0.183,1,"0","DHRS7"
"CYBA",0.00274123528156623,0.286687628334081,0.728,0.582,1,"0","CYBA"
"CD69",0.00289384703885849,0.515838554422991,0.599,0.457,1,"0","CD69"
"CDC42",0.00291573835560424,0.613770484497992,0.419,0.283,1,"0","CDC42"
"SRSF3",0.00298814710088292,0.42245412741752,0.504,0.38,1,"0","SRSF3"
"CD2",0.00301285784172199,0.791786284353934,0.482,0.377,1,"0","CD2"
"YWHAZ",0.00313000060468707,0.378058896383389,0.452,0.313,1,"0","YWHAZ"
"UBB",0.00325808076877297,0.543252785271715,0.761,0.665,1,"0","UBB"
"PIM1",0.00326320229840533,0.537798523726801,0.261,0.158,1,"0","PIM1"
"ACTR2",0.00338487851110536,0.419547541808239,0.287,0.186,1,"0","ACTR2"
"NDUFB10",0.00345167661969425,1.18693382853184,0.305,0.202,1,"0","NDUFB10"
"NDUFA11",0.00349544571960438,0.670419938845043,0.39,0.269,1,"0","NDUFA11"
"SUB1",0.00349764843316064,0.414679752558414,0.331,0.216,1,"0","SUB1"
"ARF1",0.0035351016076375,0.986036276279698,0.397,0.274,1,"0","ARF1"
"EZR",0.00375800365940081,0.384799524906024,0.419,0.288,1,"0","EZR"
"TALDO1",0.00386200789963598,0.521424938456555,0.268,0.166,1,"0","TALDO1"
"LIME1",0.00387184699207891,0.424594364129379,0.562,0.429,1,"0","LIME1"
